,regio1,serviceCharge,newlyConst,balcony,totalRent,yearConstructed,hasKitchen,cellar,baseRent,livingSpace,typeOfFlat,noRooms,garden,cities,date
51877,Berlin,80.0,False,False,480.0,1919,True,True,400.0,49.0,other,1,False,Berlin,Sep18
51940,Berlin,130.0,False,True,656.81,1963,False,False,446.81,62.0,apartment,2,False,Berlin,Feb20
51952,Berlin,103.47,False,True,1201.94,1910,True,False,995.0,68.98,apartment,2,False,Berlin,Sep18
51972,Berlin,118.0,False,True,1250.0,1959,False,False,1132.0,29.13,apartment,1,False,Berlin,Feb20
52015,Berlin,162.75,False,False,1030.75,1900,False,True,868.0,54.25,apartment,2,False,Berlin,Sep18
52027,Berlin,163.35,True,False,1400.0,2019,True,False,1236.65,46.67,apartment,2,False,Berlin,Feb20
52030,Berlin,80.0,False,False,1030.0,1985,True,True,900.0,60.0,ground_floor,2,False,Berlin,Feb20
52035,Berlin,150.0,True,True,1297.2,2018,True,True,1043.2,65.2,apartment,2,False,Berlin,Oct19
52095,Berlin,273.6,False,True,1825.6,2016,True,True,1440.0,72.0,apartment,2,False,Berlin,May19
52099,Berlin,133.22,False,True,926.66,1972,False,False,744.56,70.91,apartment,2,False,Berlin,Feb20
52112,Berlin,170.0,False,False,1199.0,1953,False,False,949.0,97.0,apartment,3,False,Berlin,Oct19
52147,Berlin,201.3,False,True,1760.37,1917,False,True,1458.42,100.65,ground_floor,3,False,Berlin,Feb20
52206,Berlin,50.0,False,False,840.0,1985,True,False,790.0,13.0,apartment,1,False,Berlin,Feb20
52254,Berlin,215.67,False,True,746.74,1986,False,True,531.07,75.7,apartment,4,False,Berlin,Oct19
52301,Berlin,200.16,True,True,2103.18,2019,True,True,1811.45,100.08,apartment,4,False,Berlin,Oct19
52339,Berlin,85.54,False,False,559.87,1954,False,False,406.93,55.05,apartment,2,False,Berlin,Feb20
52346,Berlin,153.0,False,True,949.0,1910,False,False,796.0,72.18,apartment,2,False,Berlin,May19
52466,Berlin,120.0,False,True,926.0,1983,True,True,754.0,74.0,raised_ground_floor,2,False,Berlin,Sep18
52487,Berlin,185.12,True,True,2119.62,2019,True,False,1841.94,92.56,apartment,4,False,Berlin,Feb20
52492,Berlin,260.0,True,True,1370.0,2019,True,False,1110.0,90.19,apartment,4,False,Berlin,Oct19
52497,Berlin,185.0,True,True,2180.0,2019,True,True,1800.0,135.0,apartment,5,True,Berlin,Feb20
52523,Berlin,0.0,False,True,1350.0,1985,False,False,1200.0,42.0,apartment,2,False,Berlin,Oct19
52529,Berlin,168.28,False,True,817.36,1972,True,True,649.08,48.08,apartment,1,False,Berlin,Oct19
52563,Berlin,140.0,False,True,651.59,1986,True,True,451.59,63.16,apartment,2,False,Berlin,Oct19
52592,Berlin,145.0,True,False,804.0,2019,True,True,659.0,41.15,ground_floor,2,False,Berlin,Oct19
52614,Berlin,207.42,False,True,743.09,1983,False,True,535.67,68.82,apartment,3,False,Berlin,Oct19
52711,Berlin,67.9,True,False,610.0,2018,False,False,542.1,27.8,apartment,1,False,Berlin,Oct19
52742,Berlin,170.0,False,False,1460.0,1910,True,True,1290.0,90.0,apartment,3,False,Berlin,Oct19
52773,Berlin,140.0,False,True,2000.0,1970,True,True,1720.0,115.0,apartment,5,False,Berlin,May19
52800,Berlin,85.0,False,False,440.39,1902,False,False,355.39,48.0,apartment,2,False,Berlin,Feb20
52829,Berlin,202.08,False,True,590.65,1964,False,False,388.57,39.52,apartment,1,False,Berlin,Sep18
52873,Berlin,321.68,True,True,1699.54,2019,False,False,1377.86,125.26,maisonette,5,False,Berlin,May19
53001,Berlin,40.0,False,False,869.0,1903,True,True,819.0,30.0,apartment,1,False,Berlin,Feb20
53014,Berlin,170.0,False,True,884.9,1975,False,False,604.9,84.72,apartment,3,False,Berlin,Feb20
53026,Berlin,250.0,False,True,1050.0,1997,False,False,800.0,80.9,ground_floor,3,False,Berlin,May19
53058,Berlin,250.0,False,True,1950.0,1910,True,False,1700.0,91.0,other,3,False,Berlin,Feb20
53108,Berlin,170.0,False,True,1084.33,1988,True,True,839.33,76.32,apartment,3,False,Berlin,Oct19
53160,Berlin,110.0,True,True,650.0,2018,True,True,540.0,20.0,apartment,1,True,Berlin,Oct19
53166,Berlin,153.08,False,True,844.0,1992,True,False,601.92,74.22,apartment,3,False,Berlin,Feb20
53201,Berlin,160.0,False,False,939.0,1985,True,True,779.0,54.0,apartment,2,False,Berlin,Feb20
53206,Berlin,128.0,False,False,1279.0,1900,False,False,1151.0,44.27,apartment,2,False,Berlin,May19
53239,Berlin,485.0,True,True,3655.0,2019,False,False,3170.0,186.7,maisonette,5,True,Berlin,Feb20
53255,Berlin,127.0,False,True,797.46,1973,True,True,595.46,56.71,apartment,2,False,Berlin,May19
53259,Berlin,120.0,False,True,1329.16,2002,True,True,1209.0,63.64,roof_storey,2,False,Berlin,Oct19
53267,Berlin,126.75,True,False,780.75,2018,True,True,654.0,32.7,ground_floor,1,True,Berlin,Sep18
53320,Berlin,230.0,False,True,1820.0,2014,True,False,1590.0,85.26,apartment,3,False,Berlin,Oct19
53377,Berlin,231.0,False,True,1131.0,1912,True,False,900.0,85.85,roof_storey,3,False,Berlin,Sep18
53400,Berlin,309.0,False,True,1478.0,1992,False,True,1169.0,96.34,apartment,3,False,Berlin,Oct19
53409,Berlin,123.0,False,True,746.0,1910,False,False,623.0,69.91,apartment,2,False,Berlin,May19
53581,Berlin,346.74,False,True,2309.9,2013,False,False,1963.16,115.58,apartment,4,False,Berlin,Sep18
53607,Berlin,182.37,False,True,1429.21,1990,True,True,1199.68,82.17,apartment,3,False,Berlin,Oct19
53679,Berlin,254.92,False,True,745.23,1969,False,True,490.32,68.48,apartment,2,False,Berlin,May19
53729,Berlin,200.0,False,True,1400.0,1996,True,True,1100.0,90.0,apartment,4,True,Berlin,May19
53786,Berlin,120.0,False,True,697.0,1985,True,True,577.0,57.0,apartment,2,False,Berlin,Feb20
53806,Berlin,149.0,False,True,894.0,1904,True,True,685.0,71.0,apartment,2,False,Berlin,Oct19
53825,Berlin,226.88,True,True,1656.88,2019,True,True,1430.0,95.46,penthouse,3,False,Berlin,Feb20
53843,Berlin,264.0,True,True,1086.0,2018,False,True,822.0,75.0,apartment,3,True,Berlin,Sep18
53870,Berlin,100.0,False,True,1600.0,1906,True,False,1425.0,71.01,apartment,2,False,Berlin,May19
53907,Berlin,245.0,False,True,1069.0,1986,True,False,824.0,75.0,maisonette,3,False,Berlin,May19
54024,Berlin,494.0,False,True,2307.0,2018,True,True,1813.0,65.94,ground_floor,2,False,Berlin,Feb20
54045,Berlin,133.22,False,True,1132.37,1985,True,True,932.54,66.61,apartment,3,False,Berlin,Sep18
54056,Berlin,80.0,False,False,560.6,1963,True,False,445.6,33.0,apartment,1,False,Berlin,Feb20
54057,Berlin,200.0,True,True,1451.45,2019,True,False,1251.45,83.0,other,2,True,Berlin,Feb20
54100,Berlin,249.0,True,True,2149.0,2019,False,True,1900.0,81.4,apartment,3,False,Berlin,May19
54115,Berlin,92.39,False,False,474.42,1982,False,False,334.63,52.18,apartment,2,False,Berlin,Sep18
54164,Berlin,50.0,False,True,710.0,1985,True,False,660.0,10.0,apartment,1,False,Berlin,Feb20
54172,Berlin,298.54,False,True,1384.14,2015,True,False,1085.6,54.28,terraced_flat,2,True,Berlin,Oct19
54210,Berlin,170.6,True,True,1935.86,2018,True,True,1675.26,93.07,apartment,4,True,Berlin,May19
54228,Berlin,136.0,False,False,850.0,1904,False,False,714.0,50.29,apartment,1,False,Berlin,Sep18
54231,Berlin,215.0,False,True,1015.0,2017,True,False,800.25,48.5,apartment,2,False,Berlin,Oct19
54236,Berlin,256.14,False,False,768.9,1939,False,True,512.76,61.93,apartment,2,False,Berlin,Feb20
54395,Berlin,91.0,False,True,1296.0,1985,False,False,1079.0,86.31,apartment,2,False,Berlin,Sep18
54409,Berlin,150.0,False,False,1000.0,1985,True,True,850.0,78.0,roof_storey,2,False,Berlin,Oct19
54509,Berlin,80.0,False,True,649.0,1900,False,False,519.0,58.0,apartment,2,False,Berlin,May19
54510,Berlin,212.0,False,True,642.0,1985,True,True,430.0,65.0,apartment,3,False,Berlin,Sep18
54516,Berlin,200.0,False,True,1740.0,1985,True,False,1540.0,80.0,apartment,3,False,Berlin,Oct19
54533,Berlin,418.95,False,True,2374.05,1900,False,False,1955.1,139.65,apartment,3,True,Berlin,Feb20
54557,Berlin,298.0,False,False,1694.48,1904,False,False,1396.48,87.28,raised_ground_floor,3,False,Berlin,Feb20
54574,Berlin,220.0,True,True,1514.0,2018,True,True,1294.0,80.0,roof_storey,3,False,Berlin,Sep18
54590,Berlin,250.0,False,True,1431.0,2000,True,True,1181.0,93.0,maisonette,3,True,Berlin,Oct19
54698,Berlin,200.0,False,True,1340.0,2014,True,True,1140.0,74.0,apartment,2,False,Berlin,Oct19
54794,Berlin,208.82,False,False,2386.7,2017,True,False,2074.17,122.01,penthouse,4,False,Berlin,Oct19
54795,Berlin,400.0,True,True,3100.0,2018,True,True,2700.0,97.73,apartment,4,False,Berlin,Sep18
54827,Berlin,200.0,False,False,793.0,2017,True,True,593.0,24.1,apartment,1,False,Berlin,Feb20
54843,Berlin,250.0,False,True,999.0,1985,False,True,749.0,104.54,apartment,3,False,Berlin,Oct19
54933,Berlin,127.79,False,False,403.71,1983,False,False,275.92,46.0,apartment,2,False,Berlin,May19
54944,Berlin,63.76,False,True,573.84,1985,True,True,478.2,31.88,raised_ground_floor,1,False,Berlin,Oct19
54952,Berlin,83.98,False,False,397.38,1983,False,True,313.4,29.14,apartment,1,False,Berlin,Oct19
54977,Berlin,61.57,True,True,416.53,2019,False,False,325.98,36.22,apartment,1,False,Berlin,Oct19
55012,Berlin,88.0,False,True,1296.0,1985,False,False,1086.0,83.56,apartment,2,False,Berlin,Sep18
55050,Berlin,106.0,False,False,965.0,1904,True,False,800.0,58.8,apartment,2,False,Berlin,Feb20
55057,Berlin,159.58,False,False,1121.88,1996,False,False,883.2,89.61,maisonette,3,False,Berlin,Sep18
55095,Berlin,130.0,False,True,1310.0,1985,True,True,1100.0,68.0,apartment,2,False,Berlin,Oct19
55143,Berlin,77.8,False,False,650.0,1900,False,False,502.2,57.35,ground_floor,2,False,Berlin,Oct19
55144,Berlin,346.8,True,True,2312.0,2018,False,False,1965.2,115.6,apartment,4,False,Berlin,Sep18
55149,Berlin,288.0,False,True,1637.0,2014,True,True,1349.0,103.02,ground_floor,4,False,Berlin,Oct19
55178,Berlin,320.0,False,True,1120.0,1961,True,False,800.0,40.0,penthouse,1,False,Berlin,May19
55185,Berlin,624.25,False,True,2667.25,2015,True,False,2043.0,113.5,terraced_flat,2,True,Berlin,Oct19
55187,Berlin,227.94,False,True,1481.61,2013,False,False,1253.67,75.98,ground_floor,2,False,Berlin,Sep18
55224,Berlin,50.0,False,False,449.0,1904,False,False,399.0,34.0,ground_floor,1,False,Berlin,Oct19
55245,Berlin,180.0,True,False,1445.0,2019,False,False,1265.0,60.0,apartment,2,False,Berlin,Oct19
55257,Berlin,225.0,False,False,1236.0,1880,True,False,1011.0,73.54,apartment,3,False,Berlin,Feb20
55267,Berlin,162.0,False,True,1903.04,2015,False,False,1675.04,120.89,apartment,4,False,Berlin,Sep18
55297,Berlin,0.0,False,True,1550.0,1900,True,True,1550.0,58.48,apartment,2,False,Berlin,May19
55299,Berlin,220.0,False,True,1119.33,1998,False,True,899.33,8.65,apartment,3,False,Berlin,May19
55311,Berlin,80.0,True,True,922.0,2019,True,True,792.0,49.55,ground_floor,2,True,Berlin,May19
55325,Berlin,208.87,False,True,1253.19,1900,False,False,1044.32,65.27,roof_storey,1,False,Berlin,Oct19
55419,Berlin,100.0,False,True,1120.0,1900,True,True,925.0,73.6,apartment,3,False,Berlin,Oct19
55575,Berlin,150.0,False,False,999.0,1993,True,True,749.0,84.87,apartment,3,False,Berlin,Sep18
55602,Berlin,270.0,True,True,2046.0,2018,True,True,1729.0,110.97,apartment,3,False,Berlin,Oct19
55625,Berlin,77.0,False,True,577.0,1900,True,True,500.0,45.59,apartment,1,False,Berlin,May19
55674,Berlin,197.05,False,True,715.86,1998,True,False,518.81,58.95,roof_storey,2,False,Berlin,Sep18
55682,Berlin,278.0,False,True,1518.0,2015,True,True,1240.0,62.0,apartment,2,False,Berlin,Oct19
55717,Berlin,203.04,True,True,2436.48,2019,True,False,2131.92,101.52,maisonette,3,False,Berlin,Feb20
55739,Berlin,565.0,False,True,2555.0,1998,True,True,1990.0,125.46,apartment,3,False,Berlin,Feb20
55767,Berlin,312.3,False,True,1977.9,1912,True,False,1665.6,104.1,roof_storey,2,False,Berlin,Feb20
55783,Berlin,205.0,True,True,1300.0,2019,False,True,1095.0,68.63,apartment,3,True,Berlin,Feb20
55862,Berlin,230.0,True,False,2040.0,2019,True,False,1810.0,92.2,apartment,3,False,Berlin,Oct19
55866,Berlin,160.0,False,False,1245.0,1904,False,False,1025.0,71.67,apartment,2,False,Berlin,May19
55944,Berlin,238.17,False,False,699.42,1926,False,True,461.25,58.46,ground_floor,1,False,Berlin,May19
55988,Berlin,203.14,False,True,678.71,1931,False,False,475.57,56.3,apartment,2,False,Berlin,Feb20
56056,Berlin,350.0,False,True,2600.0,1985,True,True,2250.0,143.0,apartment,3,False,Berlin,Feb20
56080,Berlin,250.0,False,True,1950.0,1985,True,True,1700.0,110.0,apartment,3,False,Berlin,Feb20
56087,Berlin,223.65,False,False,851.34,1994,False,False,627.69,65.74,apartment,2,False,Berlin,Sep18
56097,Berlin,95.36,False,False,798.81,1915,False,False,628.77,65.84,apartment,2,False,Berlin,Sep18
56099,Berlin,220.0,True,True,1060.0,2019,True,False,840.0,76.44,ground_floor,3,False,Berlin,Oct19
56244,Berlin,99.78,False,True,818.75,1978,True,True,684.74,48.91,apartment,1,True,Berlin,Oct19
56248,Berlin,65.0,False,False,611.0,1885,True,False,546.0,50.0,apartment,2,True,Berlin,Oct19
56282,Berlin,189.0,False,False,778.31,1976,False,False,589.31,78.49,apartment,2,False,Berlin,Feb20
56358,Berlin,250.0,False,True,1450.0,1985,True,False,1200.0,65.0,apartment,2,False,Berlin,May19
56408,Berlin,90.0,False,False,1250.0,1910,True,False,1100.0,53.38,ground_floor,2,False,Berlin,Oct19
56411,Berlin,130.0,False,True,779.0,1954,False,True,649.0,39.38,apartment,1,False,Berlin,May19
56441,Berlin,134.0,False,True,789.0,1961,True,True,594.0,63.0,apartment,2,False,Berlin,May19
56449,Berlin,140.0,False,True,971.0,1978,False,True,706.0,77.7,apartment,2,False,Berlin,Sep18
56475,Berlin,77.48,False,False,332.13,1986,False,False,254.65,32.5,apartment,1,False,Berlin,Oct19
56515,Berlin,66.27,False,False,850.0,1900,True,False,783.73,26.83,roof_storey,1,False,Berlin,Oct19
56534,Berlin,161.0,True,True,875.0,2019,False,False,714.0,70.0,apartment,3,True,Berlin,Oct19
56537,Berlin,175.0,False,True,2047.0,1985,True,False,1872.0,117.0,raised_ground_floor,4,True,Berlin,May19
56553,Berlin,319.0,False,True,2107.0,1910,False,False,1788.0,119.18,apartment,5,False,Berlin,Oct19
56562,Berlin,117.33,True,True,1935.95,2018,True,False,1740.4,78.22,apartment,3,False,Berlin,Sep18
56564,Berlin,330.0,True,True,1565.0,2019,True,False,1235.0,115.41,apartment,5,False,Berlin,Feb20
56565,Berlin,205.0,False,True,1118.0,1905,True,True,913.0,102.0,apartment,3,False,Berlin,May19
56577,Berlin,72.0,False,True,696.0,1957,True,True,576.0,48.0,raised_ground_floor,1,False,Berlin,Sep18
56601,Berlin,207.86,False,True,994.91,1985,False,True,787.05,71.55,apartment,3,False,Berlin,Oct19
56605,Berlin,140.0,False,True,1240.0,1905,False,True,1040.0,100.44,roof_storey,4,True,Berlin,May19
56649,Berlin,80.0,False,True,479.0,1968,False,False,349.0,41.0,apartment,1,False,Berlin,May19
56685,Berlin,513.61,False,True,3300.0,2014,True,True,2786.39,177.0,apartment,5,True,Berlin,Feb20
56718,Berlin,50.0,False,True,750.0,1988,True,True,670.0,64.29,apartment,3,False,Berlin,Sep18
56730,Berlin,220.0,False,False,1079.0,1985,True,True,859.0,80.0,roof_storey,3,False,Berlin,Feb20
56733,Berlin,104.0,False,True,1315.0,1985,False,True,1111.0,92.66,apartment,3,True,Berlin,Sep18
56743,Berlin,90.0,False,False,999.0,1900,True,False,850.0,77.8,apartment,2,False,Berlin,Sep18
56753,Berlin,230.0,False,True,1110.0,1935,True,False,790.0,76.0,terraced_flat,2,True,Berlin,Feb20
56781,Berlin,125.0,False,False,795.0,1862,True,False,670.0,39.94,raised_ground_floor,1,False,Berlin,Feb20
56812,Berlin,150.0,False,False,970.0,1985,False,False,820.0,68.0,raised_ground_floor,2,False,Berlin,Oct19
56846,Berlin,186.93,False,True,1114.93,1991,False,False,861.03,95.67,other,3,False,Berlin,May19
56849,Berlin,140.0,False,True,934.0,1969,False,False,749.0,74.0,apartment,3,False,Berlin,May19
